id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_qty,bom_line_ids/product_uom_id/id,product_tmpl_id/id,product_uom_id/id,product_qty
init.9a7d023d-ce24-476f-ab7c-0968292470a5,init.f90676d1-ca78-4bad-867f-b6ff7307720e,init.8f36899f-a769-44ce-894d-de7dfffee188,10,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.20a2cc9b-7d7b-460f-8092-79af1a36ce47_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.7a82725b-51ed-4415-8b8f-45609e9a71a8,init.594ace23-0e76-472b-bd2c-b3ed94cf3593,init.7f16bf13-e5ff-4a43-8a1f-68bb2cbfaa1f,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.1672fb6f-7e42-4368-9809-b8e19467eabe_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.ddfd2ad1-4065-4e0d-8173-675a1c16653d,init.8c3d0216-5ca3-4c3d-a450-22f7fa417f95,init.8c3d0216-5ca3-4c3d-a450-22f7fa417f95,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.45ddaf4f-067b-4ffc-903c-e928473a5481_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.eb53a55b-8657-4641-9f40-f8f3d11249cd,init.345cf8d7-9969-4ffd-bc2e-ffd6b0f5dba4,init.fc30b4e5-475e-46ea-91fe-a438d68cfc04,10,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.10a9b381-7926-459c-94ff-c81440430fbf_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.c5e58008-dee0-4583-8d53-8d1b0eeabbc9,init.ae5d7eea-5029-44fb-bd7c-4a09c1966889,init.cdd98ebe-ed12-45f8-ada9-c08937f650d3,14,init.e946eb88-c6ce-481a-8f76-a979f684fada,init.dd5de8d8-0f0d-4e4a-8e96-bd1a5cd7e116_product_template,init.beabdc93-f6ad-4f7b-8d90-49766f95277d,1
init.2db86db1-324e-45d1-b505-b3b3e5de7ef4,init.b12b3eff-24a5-48fb-930f-f11a471a31c3,init.ff3667a6-b38b-43d8-a9ed-729c832eae44,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.60e587d9-94a1-46c7-9f68-da7db6734af0_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.ea6a713f-2161-40cd-803b-282dff10ab94,init.c0d1c76a-5366-4242-a182-f57ac3f05a09,init.a8640545-0fc3-4760-911c-1ec6286460a9,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.679d044e-b569-499a-b279-9a004bdeb6be_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.11167059-df23-47d7-a729-00982d6caf01,init.6fe6b877-b7f5-4e6e-a0c1-0b5beebe9898,init.8111a0a1-dc8a-4f77-8ef5-4ec673545c42,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.cbbf6430-d52e-4a43-9466-5e71751b26e3_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.2ac826ae-ebdc-4c5f-99cb-5a51a6064460,init.60860b3e-f2fc-48eb-92d8-4367ff315df3,init.fd9dc574-da13-4853-9f91-63e66bb38c5b,30,init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,init.7a0e124d-0d98-46e3-ab09-9a91c7355e9c_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.cf8a5acc-3786-4c20-ac44-fa536383c59d,init.83341acc-d153-49f9-9f86-35bc6f9d38a5,init.f6128c81-3b8c-4062-8a02-889cc6de6f0a,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.64acfb5e-3345-4de6-9ba9-e5cff2108870_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
