Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
654315b7-27f3-4e61-807f-aeafec2b1038,,,Alpha Methyldopa,Alpha Methyldopa,Drug,N/A,,,
7899e19c-b192-4db9-88e0-4300e94ba99d,,,Apixaban,Apixaban,Drug,N/A,,,
6a8b1498-5172-44e6-b042-0b599931b3a2,,,Calcium + Vitamine D,Calcium + Vitamine D,Drug,N/A,,,
540ec678-616c-4121-9272-f0a5b5a7a992,,,Colchicine,Colchicine,Drug,N/A,,,
c19981ac-7dc9-459e-a529-c33957880925,,,Cyanocobalamine,Cyanocobalamine,Drug,N/A,,,
f72d722e-0314-4b17-aa86-4a2df7912675,,,Dapagliflozine,Dapagliflozine,Drug,N/A,,,
995692ac-0db2-49fb-a057-e3328b4be0ed,,,Ivabradine,Ivabradine,Drug,N/A,,,
24b6830e-2b69-4cc9-b71b-a92d09e6f916,,,N Acetyl cysteine,N Acetyl cysteine,Drug,N/A,,,
40dc5868-cbb4-4de5-ab23-e192d2e12984,,,Semaglutide,Semaglutide,Drug,N/A,,,
007fbeb6-dcdd-48ea-9ae9-3593f29ba5f2,,,Vildagliptine,Vildagliptine,Drug,N/A,,,
ebca466b-4548-49a4-abc1-3123487b733c,,,Flecainide,Flecainide,Drug,N/A,,,
edc60a00-a4ad-48f1-9f49-3c72e9d28c79,,,Artificial tears,Artificial tears,Drug,N/A,,,
e536d19a-8482-476d-a5bd-9034016b199d,,,Probiotique,Probiotique,Drug,N/A,,,
db53a33c-b8b3-4356-aa40-1072431288d5,,,Acide tranexamique,Acide tranexamique,Drug,N/A,,,
dce2077b-8963-4b9d-b8a4-b754fdb05769,,,Diltiazem,Diltiazem,Drug,N/A,,,
ccfd8ef7-9dcd-4ffd-a647-d2e41984c0fc,,,Dobutamine,Dobutamine,Drug,N/A,,,
ffc5f4b9-78d5-44ea-b88a-faf78d0d5e6a,,,Estreptomycine,Estreptomycine,Drug,N/A,,,
2e46c00c-dd3e-4298-9b12-9c1d623bee14,,,Meropenem,Meropenem,Drug,N/A,,,
2ae68de5-7930-4cae-a0a0-b4aaa3b54e1c,,,Piperacillin + tazobactam,Piperacillin + tazobactam,Drug,N/A,,,
edaade66-6d14-4038-8c36-d9559eb5e4ad,,,Procainamide,Procainamide,Drug,N/A,,,
09ab5da9-882a-4a75-8e67-cb32bd7f0158,,,Dorzolamide,Dorzolamide,Drug,N/A,,,
