Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
0b724cbd-d80c-48f4-925b-598221f90eae,,,DD (Supine Position),DD (Décubitus Dorsal),DD (Supine Position),DD (Décubitus Dorsal),,,Misc,N/A,,,,,,,,,,,
68247ee1-b91f-4bb5-bb2c-738d76904131,,,DLG (Left Back),DLG (Latéral Gauche),DLG (Left Back),DLG (Latéral Gauche),,,Misc,N/A,,,,,,,,,,,
9edffbb9-58c9-426f-ba34-c9016cf7e9ff,,,DLD (Right Full-Back),DLD (Latéral Droit),DLD (Right Full-Back),DLD (Latéral Droit),,,Misc,N/A,,,,,,,,,,,
5f74b1fc-d11c-4ac9-bc76-15cbc930006a,,,Seat,Assise,Seat,Assise,,,Misc,N/A,,,,,,,,,,,
2fcb990b-9cf8-4a11-84f2-8a8bd9da07e6,,,Half Seat (30-45°),Demi-assise (30-45°),Half Seat (30-45°),Demi-assise (30-45°),,,Misc,N/A,,,,,,,,,,,
bd13ef55-9741-4885-b6af-402fc88c542d,,,Trendelenbourg,Trendelenbourg,Trendelenbourg,Trendelenbourg,,,Misc,N/A,,,,,,,,,,,
4651b941-d4a3-4e9c-a5a8-7cb9f24e6544,,,Other Positioning and Mobility,Other Positioning and Mobility,Other Positioning and Mobility,Other Positioning and Mobility,,,Misc,Text,,,,,,,,,,,
d038fd84-e92e-497b-ac2a-fadeb48d0af6,,,Positioning and Mobility,Positionnement et Mobilité,Positioning and Mobility,Positionnement et Mobilité,,,Question,Coded,,DD (Supine Position);DLG (Left Back);DLD (Right Full-Back);Seat;Half Seat (30-45°);Trendelenbourg;Other,,,,,,,,,

9bbae48a-924a-40ae-9090-353b2a613422,,,Other Breathing Assessment Details,Other Breathing Assessment Details,Other Breathing Assessment Details,Other Breathing Assessment Details,,,Misc,Text,,,,,,,,,,,
a21aa582-bb23-4cd8-8fb7-410d88694908,,,Clinical Observation,Observation Clinique,Clinical Observation,Observation Clinique,,,Misc,Text,,,,,,,,,,,
76799fc6-ee55-49c2-93de-a070188b35fb,,,Examinations requested,Examens demandés,Examinations requested,Examens demandés,,,Misc,Text,,,,,,,,,,,
24155ce4-9361-4497-ab71-338a2467886c,,,Evolution,Evolution,Evolution,Evolution,,,Misc,Text,,,,,,,,,,,
0d6a6079-46af-43ed-80eb-cf89caf9ce9a,,,NS0.9,NS0.9,NS0.9,NS0.9,,,Misc,N/A,,,,,,,,,,,
b8cadca9-9eb0-4b0e-ae68-ca4dae824876,,,NS0.45,NS0.45,NS0.45,NS0.45,,,Misc,N/A,,,,,,,,,,,
8c4302b2-fcc5-451f-8ff2-ad91fe5e41d5,,,Ringer lactate,Ringer lactate,Ringer lactate,Ringer lactate,,,Misc,N/A,,,,,,,,,,,
d0ed6c2f-9b30-40b6-b240-19c4daf2be5c,,,Dextrose 50%,Dextrose 50%,Dextrose 50%,Dextrose 50%,,,Misc,N/A,,,,,,,,,,,
07fce3da-7c1f-46f7-b198-f24a41a07c79,,,Dextrose 10%,Dextrose 10%,Dextrose 10%,Dextrose 10%,,,Misc,N/A,,,,,,,,,,,
cd504718-879f-45f5-963c-c95d8fc8b466,,,Dextrose 5%,Dextrose 5%,Dextrose 5%,Dextrose 5%,,,Misc,N/A,,,,,,,,,,,
ae739dc0-0680-4b42-8484-b1004a0dabd1,,,DNS,DNS,DNS,DNS,,,Misc,N/A,,,,,,,,,,,
c6b5592e-210e-4a87-8f17-b5b751adc321,,,Soluté,Soluté,Soluté,Soluté,,,Question,Coded,,NS0.9;Ringer lactate;NS0.45;Dextrose 50%;Dextrose 10%;Dextrose 5%;DNS;Other,,,,,,,,,
ae2673bd-e822-4ebf-a64b-0588f3274e6c,,,Other Soluté,Other Soluté,Other Soluté,Other Soluté,,,Misc,Text,,,,,,,,,,,
5407a0fc-e73f-4da7-8c22-2abcf04f8f60,,,Flow rate (ml/h),Débit (ml/h),Flow rate (ml/h),Débit (ml/h),,,Misc,Numeric,,,,,,,,,,,
4f3cc7ef-e8cf-4589-806e-598ad37056c2,,,Drainage,Drainage,Drainage,Drainage,,,Misc,N/A,,,,,,,,,,,
06dd849c-ca72-4f9c-a536-dcdd9bb3ac3d,,,Force-feeding,Gavage,Force-feeding,Gavage,,,Misc,N/A,,,,,,,,,,,
889b0cc0-130c-4ab6-8636-687da58d567f,,,TNG (Nasogastric Tube),TNG (Sonde Nasogastrique),TNG (Nasogastric Tube),TNG (Sonde Nasogastrique),,,Question,Coded,,Drainage;Force-feeding;Other,,,,,,,,,
1a33a256-b387-4ed2-9e4f-c5eff7f6e09d,,,Other TNG Details,Other TNG Details,Other TNG Details,Other TNG Details,,,Misc,Text,,,,,,,,,,,
85959e08-898d-4cdb-be7a-534c73ceb00d,,,Foley (Urinary catheter),Foley (Sonde urinaire),Foley (Urinary catheter),Foley (Sonde urinaire),,,Misc,N/A,,,,,,,,,,,
93bc228e-f458-43aa-9c89-745bef929a74,,,Graduated pot,Pot gradué,Graduated pot,Pot gradué,,,Misc,N/A,,,,,,,,,,,
ff5e520f-bba3-490b-99f9-44fe98ab4792,,,Bladder puncture,Ponction Vésicale,Bladder puncture,Ponction Vésicale,,,Misc,N/A,,,,,,,,,,,
c1ba03e1-db7d-48a5-b8bf-1730a7713701,,,Diuresis,Diurèse,Diuresis,Diurèse,,,Question,Coded,,Foley (Urinary catheter);Graduated pot;Bladder puncture;Other,,,,,,,,,
df7acb48-faad-4a66-a4f8-03a46a95850c,,,Other Diuresis,Autre Diurèse,Other Diuresis,Autre Diurèse,,,Misc,Text,,,,,,,,,,,
cd86be63-7829-4d0f-b26f-7803136a0937,,,Glasses,Lunettes,Glasses,Lunettes,,,Misc,N/A,,,,,,,,,,,
5d4ec251-b391-49e8-8e6f-2741b1059a5b,,,Mask,Masque,Mask,Masque,,,Misc,N/A,,,,,,,,,,,
c41717be-5164-489a-9caf-7a36e7bd2f92,,,High Concentration,Haute Concentration,High Concentration,Haute Concentration,,,Misc,N/A,,,,,,,,,,,
a16a306c-41f2-4250-bf1a-49fda3b1e318,,,NAV,VNI,NAV,VNI,,,Misc,N/A,,,,,,,,,,,
43f4c894-cf84-4d9c-9aa1-a5e9fdd1f10c,,,Oxygen therapy,Oxygénothérapie,Oxygen therapy,Oxygénothérapie,,,Question,Coded,,Glasses;Mask;High Concentration;NAV,,,,,,,,,
a19cd5a2-9269-41f3-b7ec-26abd5aee884,,,Bandage,Pansement,Bandage,Pansement,,,Misc,Text,,,,,,,,,,,
32316550-5100-4d12-8dd3-a98fd6b89ed0,,,Drain,Drain,Drain,Drain,,,Misc,Text,,,,,,,,,,,
c3ca24f7-fa0c-4f41-9ae9-689ca050cacc,,,Ingesta/excreta assessment,Bilan ingesta/excreta,Ingesta/excreta assessment,Bilan ingesta/excreta,,,Misc,Text,,,,,,,,,,,
5267d54f-f688-4949-86a9-21550f833e44,,,Complaint,Plainte,Complaint,Plainte,,,Misc,Text,,,,,,,,,,,
